ticker,date,title,content,source,url,sentiment_score,sentiment_label
SPY,2026-03-01,"2 Mart 2026 Pazartesi Borsa İstanbul açılacak mı , saat kaçta ? Açılış saati ... ","2 Mart 2026 Pazartesi Borsa İstanbul açılacak mı , saat kaçta ? Açılış saati ... ",ensonhaber.com,https://www.ensonhaber.com/gundem/2-mart-2026-pazartesi-borsa-istanbul-acilacak-mi-saat-kacta-acilis-saati,0.031026624143123627,neutral
SPY,2026-03-01,DMMden Borsa İstanbulun pazartesi günü işlemlere kapatılacak iddialarına yalanlama,DMMden Borsa İstanbulun pazartesi günü işlemlere kapatılacak iddialarına yalanlama,cnnturk.com,https://www.cnnturk.com/ekonomi/dmmden-borsa-istanbulun-pazartesi-gunu-islemlere-kapatilacak-iddialarina-yalanlama-2401556,0.03763216733932495,neutral
SPY,2026-03-01,  Borsa İstanbul kapatılacak  iddiasına Cumhurbaşkanlığından yalanlama,  Borsa İstanbul kapatılacak  iddiasına Cumhurbaşkanlığından yalanlama,haberler.com,https://www.haberler.com/ekonomi/borsa-istanbul-kapatilacak-iddiasina-19613994-haberi/,0.03685177490115166,neutral
SPY,2026-03-01,Wall Street has fended off scoundrels since its early days,Wall Street has fended off scoundrels since its early days,livemint.com,https://www.livemint.com/market/wall-street-has-fended-off-scoundrels-since-its-early-days-11772370373592.html,-0.054073184728622437,neutral
SPY,2026-03-01,Borsa kapatılacak mı ... Dezenformasyonla Mücadele Merkezinden açıklama geldi,Borsa kapatılacak mı ... Dezenformasyonla Mücadele Merkezinden açıklama geldi,odatv.com,https://www.odatv.com/ekonomi/borsa-kapatilacak-mi-dezenformasyonla-mucadele-merkezinden-aciklama-geldi-120137809,0.05472400784492493,neutral
SPY,2026-03-01,موقع بكرا - وول ستريت جورنال : إسرائيل وأميركا قصفتا أكثر من 1000 هدف في إيران,موقع بكرا - وول ستريت جورنال : إسرائيل وأميركا قصفتا أكثر من 1000 هدف في إيران,bokra.net,https://bokra.net/Article-1589319,0.0484318733215332,neutral
SPY,2026-03-01,Matteson Woodgate students present on Tulsa race massacre,Matteson Woodgate students present on Tulsa race massacre,chicagotribune.com,https://www.chicagotribune.com/2026/03/01/matteson-students-black-wall-street-play/,-0.11372749879956245,neutral
SPY,2026-03-01,"Gram altında 10 bin TL , gümüşte 3 hane : İslam Memiş  ten piyasalardaki savaş trendi","Gram altında 10 bin TL , gümüşte 3 hane : İslam Memiş  ten piyasalardaki savaş trendi",ahaber.com.tr,https://www.ahaber.com.tr/galeri/ekonomi/gram-altinda-10-bin-tl-sesleri-piyasalarda-savas-rallisi-basladi-islam-memis-tarih-verdi,0.03131145425140858,neutral
SPY,2026-03-01,"Dmm : Borsa İstanbulun Yarın İşlemlere Kapatılacağı İddiası Açık Bir Manipülasyon , Gerekli Yasal Süreçler Başlatılmıştır","Dmm : Borsa İstanbulun Yarın İşlemlere Kapatılacağı İddiası Açık Bir Manipülasyon , Gerekli Yasal Süreçler Başlatılmıştır",haberler.com,https://www.haberler.com/guncel/borsa-istanbul-un-kapanacagi-iddialari-asilsiz-cikti-19613923-haberi/,0.07060660049319267,neutral
SPY,2026-03-01,Dimensional International Core Equity Market ETF $DFAI Stock Holdings Lifted by Okabena Investment Services Inc . ,Dimensional International Core Equity Market ETF $DFAI Stock Holdings Lifted by Okabena Investment Services Inc . ,tickerreport.com,https://www.tickerreport.com/banking-finance/13363404/dimensional-international-core-equity-market-etf-dfai-stock-holdings-lifted-by-okabena-investment-services-inc.html,0.1786893606185913,neutral
SPY,2026-03-01,Borsa İstanbulda pazartesi alarmı ! Piyasalarda panik yaratmak isteyenlerin  kapatma  yalanı elinde patladı,Borsa İstanbulda pazartesi alarmı ! Piyasalarda panik yaratmak isteyenlerin  kapatma  yalanı elinde patladı,yeniakit.com.tr,https://www.yeniakit.com.tr/haber/borsa-istanbulda-pazartesi-alarmi-piyasalarda-panik-yaratmak-isteyenlerin-kapatma-yalani-elinde-patladi-1986166.html,0.029101455584168434,neutral
